編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTOMLRJQHJGFAU67DA,升降機械,800000,25.56,一樓
RPQNMLOKQHJGFAU07DA,一樓平面,0,,一樓
RPWNMLTKQHJGFAU18DA,一樓平面,0,13.39,一樓
RPUOMLKMPHJGFAU27DA,一樓平面,1500000,16.49,一樓
RPPPMLMLQHJGFAU07DA,一樓平面,0,13.40,一樓
RPQOMLTLQHJGFAU77DA,坡道平面,0,28.04,地下一樓
RPWNMLKMPHJGFAU37DA,一樓平面,1500000,16.49,一樓
RPRNMLQJQHJGFAU27DA,一樓平面,1400000,13.75,一樓
RPPNMLMJRHJGFAU76DA,坡道平面,0,13.50,一樓
RPQNMLTJRHJGFAU57DA,坡道平面,1600000,13.75,地下一樓
RPVNMLSLOHJGFAU87DA,坡道平面,0,13.75,地下一樓
RPPOMLTJPHJGFAU37DA,坡道平面,0,14.17,地下一樓
RPVNMLNLPHJGFAU47DA,升降機械,800000,25.56,一樓
RPXNMLNLPHJGFAU67DA,升降機械,800000,25.56,一樓
RPROMLSJQHJGFAU57DA,升降機械,0,8.25,一樓
RPWOMLRJQHJGFAU97DA,升降機械,800000,25.56,一樓
RPVOMLNKQHJGFAU57DA,升降機械,0,12.87,一樓
RPTNMLMKOHJGFAU96DA,坡道平面,0,,地下一樓
RPRNMLOKOHJGFAU96DA,坡道平面,0,,地下一樓
RPXOMLRKOHJGFAU97DA,一樓平面,1300000,21.82,一樓
RPUNMLKLOHJGFAU96DA,坡道平面,0,13.50,一樓
RPWNMLQLOHJGFAU77DA,升降機械,0,,一樓
RPSOMLRLOHJGFAU57DA,坡道平面,0,,地下一樓
RPSOMLRLOHJGFAU57DA,坡道平面,0,,地下一樓
RPQNMLOJPHJGFAU86DA,坡道平面,0,30.64,地下二樓
RPTNMLNKQHJGFAU27DA,一樓平面,1250000,13.94,一樓
RPROMLNLQHJGFAU27DA,坡道平面,0,,地下三樓
RPTNMLLJNHJGFAU66DA,升降機械,0,12.87,一樓
RPUNMLLKPHJGFAU07DA,一樓平面,0,12.66,一樓
RPUNMLRKOHJGFAU57DA,坡道平面,1000000,34.02,地下一樓
RPXPMLNJRHJGFAU87DA,坡道平面,700000,20.57,地下一樓
RPOPMLNKQHJGFAU96DA,一樓平面,1250000,13.94,一樓
RPRNMLRKOHJGFAU27DA,坡道平面,1000000,34.02,地下一樓
RPQOMLNKQHJGFAU07DA,一樓平面,1200000,13.94,一樓
RPWOMLLLQHJGFAU57DA,一樓平面,1400000,20.54,一樓
RPQPMLLLQHJGFAU07DA,一樓平面,1400000,20.54,一樓
RPTOMLNKQHJGFAU37DA,一樓平面,1200000,13.94,一樓
RPVNMLRKOHJGFAU67DA,一樓平面,1150000,34.02,一樓
RPTNMLLKOHJGFAU86DA,一樓平面,1200000,18.55,一樓
RPPPMLTLQHJGFAU77DA,一樓平面,1200000,20.54,一樓
RPROMLTLQHJGFAU87DA,一樓平面,1400000,20.54,一樓
RPWNMLQJRHJGFAU87DA,坡道平面,900000,34.02,地下一樓
RPQNMLMLQHJGFAU96DA,一樓平面,1550000,20.54,一樓
RPUNMLTLQHJGFAU08DA,一樓平面,1200000,20.54,一樓
RPXNMLLLQHJGFAU57DA,一樓平面,1000000,20.54,一樓
RPROMLRKOHJGFAU37DA,坡道平面,900000,34.02,地下一樓
RPXOMLNKQHJGFAU77DA,一樓平面,800000,13.94,一樓
RPTOMLRKOHJGFAU57DA,一樓平面,1050000,34.02,一樓
RPTOMLLLQHJGFAU27DA,一樓平面,1000000,20.54,一樓
RPVOMLQKPHJGFAU77DA,一樓平面,1050000,34.02,一樓
RPRNMLMKQHJGFAU96DA,坡道平面,900000,34.02,地下一樓
RPSNMLRKOHJGFAU37DA,一樓平面,1050000,34.02,一樓
RPPOMLLJPHJGFAU56DA,一樓平面,1050000,34.02,一樓
RPSNMLKKPHJGFAU76DA,一樓平面,1050000,34.02,一樓
RPQOMLRKOHJGFAU27DA,一樓平面,900000,34.02,一樓
RPWNMLRKOHJGFAU77DA,坡道平面,950000,34.02,地下一樓
RPTNMLNKOHJGFAU07DA,坡道平面,900000,34.02,地下一樓
RPXNMLRKOHJGFAU87DA,坡道平面,800000,34.02,地下一樓
RPSOMLRKOHJGFAU47DA,坡道平面,900000,34.02,地下一樓
RPTNMLSJPHJGFAU57DA,坡道平面,800000,34.02,地下一樓
RPVPMLNJRHJGFAU67DA,一樓平面,900000,20.57,一樓
RPOPMLNJRHJGFAU96DA,坡道平面,700000,20.57,地下一樓
RPXOMLNJRHJGFAU77DA,坡道平面,800000,20.57,地下一樓
RPPPMLNJRHJGFAU07DA,坡道平面,700000,20.57,地下一樓
RPVNMLNJRHJGFAU47DA,一樓平面,900000,20.57,一樓
RPPQMLNJRHJGFAU17DA,坡道平面,800000,20.57,地下一樓
RPVOMLMJRHJGFAU47DA,坡道平面,1100000,24.02,地下二樓
RPTOMLMJRHJGFAU27DA,坡道平面,1100000,24.01,地下一樓
RPUNMLMJRHJGFAU27DA,坡道平面,1100000,24.01,地下一樓
RPWNMLMJRHJGFAU47DA,坡道平面,1100000,22.89,地下一樓
RPWOMLMJRHJGFAU57DA,坡道平面,1100000,24.02,地下二樓
RPXOMLMJRHJGFAU67DA,坡道平面,1100000,24.02,地下二樓
RPUOMLMJRHJGFAU37DA,坡道平面,1100000,24.02,地下二樓
RPQPMLMJRHJGFAU07DA,坡道平面,1200000,24.01,地下一樓
