編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLTKNHJGFAU17CB,升降平面,1500000,39.31,地下二樓
RPRNMLLMNHJGFAU76CB,坡道平面,1700000,24.72,地下三樓
RPPNMLMLNHJGFAU56CB,坡道平面,1750000,28.00,地下二樓
RPQNMLPKNHJGFAU96DB,一樓平面,1100000,,一樓
RPSNMLTLNHJGFAU67DB,升降平面,1000000,29.90,地下二樓
RPTNMLTLNHJGFAU77DB,其他,1550000,34.10,地下一樓
RPPNMLLMNHJGFAU56CB,坡道平面,1700000,24.72,地下三樓
RPRNMLTLNHJGFAU57DB,一樓平面,1500000,29.90,一樓
RPPNMLSLNHJGFAU27DB,坡道平面,1500000,16.86,地下一樓
RPPNMLTLNHJGFAU37DB,坡道平面,1500000,29.90,地下一樓
RPPNMLKMNHJGFAU09CB,一樓平面,1000000,13.75,一樓
RPPNMLLKOHJGFAU56DB,坡道平面,1400000,13.75,地下一樓
RPPNMLSKOHJGFAU27DB,一樓平面,1300000,13.84,一樓
RPSNMLNKNHJGFAU86CB,坡道平面,1300000,26.90,地下二樓
RPPNMLPJOHJGFAU76CB,坡道平面,1700000,31.44,地下三樓
RPPNMLNKOHJGFAU66CB,坡道平面,1200000,24.72,地下二樓
RPSNMLKLOHJGFAU76CB,坡道機械,900000,9.26,地下二樓
RPRNMLMKOHJGFAU76CB,坡道平面,1500000,32.94,地下一樓
RPPNMLRJOHJGFAU96CB,一樓平面,1250000,13.75,一樓
RPSNMLSKOHJGFAU47CB,一樓平面,590000,13.38,一樓
RPTNMLSKOHJGFAU57CB,坡道平面,1800000,39.94,地下二樓
RPUNMLKLOHJGFAU96CB,坡道機械,1100000,9.26,地下二樓
RPRNMLKLOHJGFAU66CB,坡道平面,541000,13.75,地下一樓
RPQNMLSKOHJGFAU27CB,一樓平面,590000,13.38,一樓
RPQNMLNLOHJGFAU86CB,坡道平面,1700000,24.72,地下三樓
RPSNMLNLOHJGFAU07CB,坡道平面,1700000,24.72,地下三樓
RPQNMLMKOHJGFAU66CB,坡道平面,1500000,32.94,地下一樓
RPPNMLLJPHJGFAU09CB,坡道平面,1800000,31.44,地下二樓
RPPNMLPLOHJGFAU96CB,一樓平面,1600000,13.75,一樓
RPQNMLPLOHJGFAU07CB,一樓平面,1600000,13.75,一樓
RPQNMLPKPHJGFAU07CB,坡道平面,1300000,24.72,地下二樓
RPQNMLPKPHJGFAU07CB,坡道平面,1200000,22.74,地下二樓
RPRNMLMJPHJGFAU76CB,一樓平面,950000,10.13,一樓
RPSNMLSKPHJGFAU57CB,坡道平面,1200000,26.44,地下一樓
RPRNMLLLPHJGFAU86CB,坡道平面,1800000,24.72,地下二樓
RPPNMLRKPHJGFAU17CB,坡道平面,590000,15.00,地下一樓
RPQNMLLLPHJGFAU76CB,坡道平面,1700000,24.72,地下三樓
RPPNMLKKPHJGFAU09CB,一樓平面,590000,13.38,一樓
RPPNMLLLPHJGFAU66CB,坡道平面,1700000,24.72,地下三樓
RPPNMLNLPHJGFAU86CB,一樓平面,1500000,8.88,一樓
RPSNMLQLPHJGFAU47CB,坡道平面,800000,12.65,地下一樓
RPOOMLQLPHJGFAU17CB,一樓平面,1500000,9.55,一樓
RPPNMLLMPHJGFAU76CB,一樓平面,1200000,13.21,一樓
RPQNMLSJQHJGFAU47DB,一樓平面,1000000,13.84,一樓
RPPNMLSJQHJGFAU37DB,一樓平面,1000000,13.84,一樓
RPVNMLLJQHJGFAU17CB,坡道平面,1800000,39.94,地下二樓
RPTNMLSKQHJGFAU77CB,坡道平面,1800000,24.72,地下二樓
RPPNMLTKQHJGFAU47CB,一樓平面,1200000,13.21,一樓
RPPNMLQJQHJGFAU07CB,坡道平面,1450000,25.34,地下一樓
RPRNMLSKQHJGFAU57CB,坡道平面,1900000,24.72,地下一樓
RPRNMLSKQHJGFAU57CB,坡道平面,1900000,24.72,地下一樓
RPSNMLSKQHJGFAU67CB,坡道平面,1700000,24.72,地下三樓
RPPNMLSKQHJGFAU37CB,坡道平面,1900000,24.72,地下一樓
RPVNMLNJRHJGFAU47CB,坡道平面,1500000,32.94,地下一樓
RPPNMLKMQHJGFAU76CB,一樓平面,1700000,13.75,一樓
RPPNMLOKQHJGFAU07DB,坡道平面,1700000,31.44,地下三樓
