鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉民生路,41.24,住,,,1130812,土地1建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,144.62,3,2,2,有,無,11550000,84555,坡道平面,15.0,590000,,RPRNMLTKQHJGFAU67CB,千悅藏馥二期B、C區,B棟07號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中正路315巷2弄,18.22,商,,,1130813,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.29,3,2,2,有,無,14300000,96707,坡道平面,25.0,1700000,,RPPNMLKLQHJGFAU66CB,三上御景,G棟1號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里二街與東里三街,27.57,住,,,1130815,土地2建物1車位0,五層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,86.27,2,2,1,有,無,6394500,74122,,0.0,0,,RPPNMLLLQHJGFAU76CB,卓越,1棟5H號,
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十街129號,9.12,商,,,1130821,土地1建物1車位0,九層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,66.43,2,2,1,有,無,7800000,117417,,0.0,0,,RPPNMLOLQHJGFAU07CB,?富,1棟9B號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉昌一街205號隔壁,28.31,住,,,1130816,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.91,2,2,2,有,無,7980000,91819,,0.0,0,,RPPNMLOLQHJGFAU17DB,磬揚合靜,A1棟4樓號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉太昌路428巷,24.26,,鄉村區,乙種建築用地,1130811,土地2建物1車位0,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.97,2,2,2,有,無,6600000,75026,,0.0,0,,RPPNMLQLQHJGFAU27CB,駿騰大展,1棟A3號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉昌隆三街,32.73,住,,,1130820,土地1建物1車位1,一層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,160.31,2,2,2,有,無,13770000,103265,坡道平面,41.49,1500000,,RPQNMLQLQHJGFAU37CB,欣悅敦峰,A棟03號,
花蓮市,房地(土地+建物),花蓮縣花蓮市豐村,29.56,住,,,1130824,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.28,2,2,2,有,無,8040000,95396,,0.0,0,,RPPNMLRLQHJGFAU37CB,沐谷上流,1棟5C號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中正路315巷2弄,13.35,商,,,1130828,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,104.81,2,2,2,有,無,11200000,103611,坡道機械,9.26,1300000,,RPQNMLKMQHJGFAU86CB,三上御景,F棟1號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海七街,20.76,住,,,1130831,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.78,2,2,2,有,無,8350000,76040,坡道平面,24.75,1200000,土地移轉面積合約書內容為：20.77平方公尺,RPQNMLMJRHJGFAU86CB,日出好學,C棟3號,
新城鄉,房地(土地+建物),花蓮縣新城鄉新興一路,26.34,住,,,1130814,土地1建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,55.74,1,1,2,有,無,3990000,71582,,0.0,0,,RPPNMLMJRHJGFAU86DB,太魯閣讚2.0,C棟1C7號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街,8.74,商,,,1130830,土地7建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.91,2,2,1,有,無,9650000,104311,坡道平面,16.53,2100000,,RPRNMLNJRHJGFAU07CB,鑫晶鑽,1A棟6FA1號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街,11.29,商,,,1130814,土地7建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.11,2,2,2,有,無,9296000,97739,坡道平面,2.0,0,本停車位屬機車停車位因購買本物件所贈所以金額為0,RPSNMLNJRHJGFAU17CB,鑫晶鑽,1A棟3FA8號,1140205全部解約
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街,8.74,商,,,1130815,土地7建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.91,2,2,1,有,無,9223700,99802,坡道平面,16.53,2000000,,RPTNMLNJRHJGFAU27CB,鑫晶鑽,1A棟3FA1號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉興路一段,74.4,住,,,1130822,土地1建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,166.34,4,2,4,有,無,14680000,88253,一樓平面,0.0,0,,RPRNMLNJRHJGFAU17DB,大金囍5,B棟9號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉興路一段,74.4,住,,,1130823,土地1建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,166.34,4,2,4,有,無,14680000,88253,一樓平面,0.0,0,,RPSNMLNJRHJGFAU27DB,大金囍5,B棟10號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里二街與東里三街,27.57,住,,,1130901,土地2建物1車位0,六層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,86.27,2,2,1,有,無,6525000,75635,,0.0,0,,RPPNMLPJRHJGFAU07CB,卓越,1棟6H號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街,7.09,商,,,1130830,土地7建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,60.52,2,1,1,有,無,6350000,104238,坡道平面,2.0,250000,,RPPNMLQJRHJGFAU17CB,鑫晶鑽,A1棟6FA5號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,9.03,商,,,1130811,土地2建物1車位0,六層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,67.75,2,2,1,有,無,6250000,92251,,0.0,0,,RPRNMLQJRHJGFAU37CB,吳狄LV,6C棟6C號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,9.03,商,,,1130811,土地2建物1車位0,五層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,67.75,2,2,1,有,無,6200000,91513,,0.0,0,,RPSNMLQJRHJGFAU47CB,吳狄LV,5c棟5c號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,9.36,商,,,1130813,土地2建物1車位0,二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,70.21,2,2,1,有,無,6100000,86882,,0.0,0,,RPUNMLQJRHJGFAU67CB,吳狄LV,2C棟2C號,
