鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
萬榮鄉,土地,萬利段653地號,92.56,,鄉村區,乙種建築用地,1140205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,2161,,0.0,0,,RPQNMLLKKHKGFBU09EA,0.0,0.0,0.0,無,
玉里鎮,土地,玉城段1558地號,88.0,住,,,1140206,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,11364,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJKHKGFCU07EA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市莊敬路２８９號三樓之二,23.99,住,,,1140203,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840429,100.16,2,2,1,有,有,5000000,49920,,0.0,0,其他增建；,RPWNMLLKKHKGFAU86DA,68.3,1.25,8.62,有,001
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉永吉一街５５號五樓之六,22.47,,鄉村區,乙種建築用地,1140206,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130201,98.25,2,2,2,有,有,6360000,64733,一樓平面,21.83,0,,RPSPMLRJKHKGFAU17DA,49.5,0.0,6.23,有,002
卓溪鄉,土地,古風段933地號,5580.0,,山坡地保育區,農牧用地,1140206,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,90,,0.0,0,,RPQNMLKKKHKGFCU98DA,0.0,0.0,0.0,無,003
瑞穗鄉,房地(土地+建物),花蓮縣瑞穗鄉自立新村５號,60.51,,特定農業區,甲種建築用地,1140209,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0721221,106.26,0,0,0,無,無,1500000,14116,,0.0,0,,RPPNMLNKKHKGFCU56DA,95.22,0.0,11.04,無,004
光復鄉,土地,加里洞段476地號,1739.19,,山坡地保育區,農牧用地,1140203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,450000,259,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPQNMLNKKHKGFBU56DA,0.0,0.0,0.0,無,
光復鄉,土地,大安段1604-15地號,258.0,住,,,1140206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3970000,15388,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSKKHKGFBU07EA,0.0,0.0,0.0,無,
豐濱鄉,土地,丁仔漏段84地號,205.2,,風景區,丙種建築用地,1140212,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,4873,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLTKKHKGFBU17EA,0.0,0.0,0.0,無,
卓溪鄉,土地,立山段959地號,173.0,,鄉村區,乙種建築用地,1140208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,2312,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLOKKHKGFCU86EA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯二路１０８之１號,142.0,住,,,1140204,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1021217,350.08,9,1,10,有,無,36800000,105119,,0.0,0,,RPWOMLOJKHKGFAU17DA,327.04,0.0,23.04,有,
花蓮市,房地(土地+建物),花蓮縣花蓮市復興街４０之６號,44.0,商,,,1140210,土地3建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0690400,187.12,8,3,4,有,無,10000000,53442,,0.0,0,,RPQOMLRKKHKGFAU96DA,187.13,0.0,0.0,無,005
吉安鄉,土地,仁廉段170地號,6.0,住,,,1140211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,120000,20000,,0.0,0,,RPUOMLRKKHKGFAU37DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉祥七街８號,55.0,商,,,1140211,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0680801,133.36,3,2,3,有,無,5500000,41242,,0.0,0,其他增建；,RPWNMLSKKHKGFAU57DA,133.36,0.0,0.0,無,
