編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQOMLRKKHKGFAU96DA,,187.12,住商用,鋼筋混凝土造,69年4月0日,四層,一層 二層 三層 四層 屋頂突出物 騎樓 地下層,持分移轉
RPWNMLSKKHKGFAU57DA,46,133.36,住商用,鋼筋混凝土造,68年8月1日,三層,一層 二層 三層 屋頂突出物 騎樓,全筆移轉
RPPNMLNKKHKGFCU56DA,41,106.26,住商用,加強磚造,72年12月21日,二層,一層 二層 陽台 騎樓,全筆移轉
RPWOMLOJKHKGFAU17DA,11,350.08,住家用,鋼筋混凝土造,102年12月17日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓,全筆移轉
RPWNMLLKKHKGFAU86DA,30,78.17,住家用,鋼筋混凝土造,84年4月29日,五層,三層 陽台 花台,全筆移轉
RPSNMLMKKHKGFAU56DA,7,34.90,本共有部份之項目有防空避難室兼停車空間、機電設備、騎樓、Ｆ梯安全梯、一樓梯廳、一樓門廳、管委會使用空間、車道、Ｃ棟垃圾處理區等９項。,鋼筋混凝土造,107年4月27日,十二層,,持分移轉
RPWNMLLKKHKGFAU86DA,30,21.99,共有部份,鋼筋混凝土造,84年4月29日,五層,,持分移轉
RPTNMLLKKHKGFAU56DA,26,120.96,住家用,鋼筋混凝土造,88年4月14日,五層,二層 陽台 雨遮,全筆移轉
RPTNMLLKKHKGFAU56DA,26,11.61,共有部份,鋼筋混凝土造,88年4月14日,五層,,持分移轉
RPTNMLLKKHKGFAU56DA,26,7.56,共有部份,鋼筋混凝土造,88年4月14日,五層,,持分移轉
RPTNMLSJKHKGFAU17DA,17,178.54,住家用,鋼筋混凝土造,97年2月25日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮,全筆移轉
RPSPMLRJKHKGFAU17DA,1,55.73,集合住宅,鋼筋混凝土造,113年2月1日,六層,五層 陽台,全筆移轉
RPSPMLRJKHKGFAU17DA,1,20.69,共有部份,鋼筋混凝土造,113年2月1日,六層,,持分移轉
RPSPMLRJKHKGFAU17DA,1,21.83,共有部分（停車空間）,鋼筋混凝土造,113年2月1日,六層,,持分移轉
RPPNMLRLKHKGFAU86DA,47,88.74,住商用,鋼筋混凝土加強磚造,66年10月18日,二層,一層 二層 騎樓,全筆移轉
RPSNMLRLKHKGFAU17DA,30,40.23,住家用,鋼筋混凝土造,83年11月17日,七層,六層 花台,全筆移轉
RPSNMLRLKHKGFAU17DA,30,13.25,共有部份,鋼筋混凝土造,83年11月17日,七層,,持分移轉
RPXNMLQLKHKGFAU57DA,29,18.02,住家用,鋼筋混凝土造,84年8月19日,十一層,九層,全筆移轉
RPXNMLQLKHKGFAU57DA,29,6.23,共有部份,鋼筋混凝土造,84年8月19日,十一層,,持分移轉
RPOOMLRLKHKGFAU86DA,31,60.64,住家用,鋼筋混凝土造,83年4月14日,六層,四層 陽台 花台,全筆移轉
RPOOMLRLKHKGFAU86DA,31,20.16,共有部份,鋼筋混凝土造,83年4月14日,六層,,持分移轉
RPVNMLOJLHKGFAU07DA,1,43.04,集合住宅,鋼筋混凝土造,112年11月29日,五層,二層 陽台,全筆移轉
RPVNMLOJLHKGFAU07DA,1,11.24,共有部份,鋼筋混凝土造,112年11月29日,五層,,持分移轉
RPSNMLOJLHKGFAU76DA,29,46.35,住家用,鋼筋混凝土造,84年9月19日,六層,五層 陽台,全筆移轉
RPSNMLOJLHKGFAU76DA,29,22.56,共有部份,鋼筋混凝土造,84年9月19日,六層,,持分移轉
RPROMLOJLHKGFAU76DA,9,304.91,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層 陽台,全筆移轉
RPRNMLNJLHKGFAU56DA,44,131.03,住商用,鋼筋混凝土加強磚造,69年12月20日,二層,一層 二層 屋頂突出物 騎樓,全筆移轉
RPTOMLPJLHKGFAU07DA,30,18.16,住家用,鋼筋混凝土造,83年11月15日,十二層,五層,全筆移轉
RPTOMLPJLHKGFAU07DA,30,5.58,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPTOMLPJLHKGFAU07DA,30,2.98,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPUNMLQJLHKGFAU17DA,32,172.27,住家用,鋼筋混凝土造,82年3月3日,二層,一層 二層 陽台 屋頂突出物 見其他登記事項,全筆移轉
RPPOMLPKJHKGFAU56DA,28,62.04,住家用,鋼筋混凝土造,85年7月26日,五層,五層 陽台,全筆移轉
RPWNMLRJJHKGFAU27DA,47,120.30,住商用,鋼筋混凝土加強磚造,66年12月16日,二層,一層 二層 騎樓,全筆移轉
RPPOMLPKJHKGFAU56DA,28,9.41,共有部份,鋼筋混凝土造,85年7月26日,五層,,持分移轉
RPQOMLOKJHKGFAU56DA,29,23.38,住家用,鋼筋混凝土造,84年9月19日,六層,三層 陽台,全筆移轉
RPQOMLOKJHKGFAU56DA,29,9.72,共有部份,鋼筋混凝土造,84年9月19日,六層,,持分移轉
RPQNMLNLJHKGFCU66DA,,68.03,住家用,木造,,一層,一層,全筆移轉
RPSNMLOLJHKGFAU76DA,25,19.16,住家用,鋼筋混凝土造,88年11月25日,六層,二層 陽台,全筆移轉
RPSNMLOLJHKGFAU76DA,25,16.23,共有部份,鋼筋混凝土造,88年11月25日,六層,,持分移轉
RPRNMLOLJHKGFAU66DA,39,96.80,住家用,鋼筋混凝土造,74年10月14日,二層,一層 二層 陽台,全筆移轉
RPVNMLOJKHKGFAU96DA,31,55.35,住家用,鋼筋混凝土造,82年11月29日,五層,四層 陽台,全筆移轉
RPVNMLOJKHKGFAU96DA,31,12.48,共有部份,鋼筋混凝土造,82年11月29日,五層,,持分移轉
RPPPMLNKJHKGFAU09DA,30,29.85,住家用,鋼筋混凝土造,84年6月8日,七層,五層 陽台 花台,全筆移轉
RPPPMLNKJHKGFAU09DA,30,6.12,共有部份,鋼筋混凝土造,84年6月8日,七層,,持分移轉
RPPPMLNKJHKGFAU09DA,30,5.80,共有部份,鋼筋混凝土造,84年6月8日,七層,,持分移轉
RPPPMLNKJHKGFAU09DA,30,13.97,停車空間,鋼筋混凝土造,84年6月8日,七層,,持分移轉
RPRNMLOJKHKGFAU56DA,32,238.15,住商用,鋼筋混凝土造,81年8月3日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓,全筆移轉
RPPNMLPJKHKGFAU09DA,35,6.18,共有部份,鋼筋混凝土造,79年5月24日,七層,,持分移轉
RPPNMLPJKHKGFAU09DA,35,44.74,住家用,鋼筋混凝土造,79年5月24日,七層,六層,全筆移轉
RPTOMLPJKHKGFAU96DA,39,140.80,住家用,鋼筋混凝土加強磚造,74年11月28日,二層,一層 二層,全筆移轉
RPROMLPJKHKGFAU76DA,28,17.70,共有部份,鋼筋混凝土造,86年1月6日,七層,,持分移轉
RPROMLPJKHKGFAU76DA,28,12.28,共有部份,鋼筋混凝土造,86年1月6日,七層,,持分移轉
RPROMLPJKHKGFAU76DA,28,76.86,住家用,鋼筋混凝土造,86年1月6日,七層,五層 陽台,全筆移轉
