編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLRKKHKGFAU96DA,北濱段,37.00,都市：商,2,1,持分移轉,09990002
RPQOMLRKKHKGFAU96DA,北濱段,6.00,都市：商,2,1,持分移轉,09990003
RPQOMLRKKHKGFAU96DA,北濱段,1.00,都市：其他:道路用地,2,1,持分移轉,09990021
RPUOMLRKKHKGFAU37DA,仁廉段,6.00,都市：住,1,1,全筆移轉,01700000
RPWNMLSKKHKGFAU57DA,宜昌段,55.00,都市：商,1,1,全筆移轉,08120001
RPPNMLTKKHKGFCU17DA,高寮段,1464.93,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01660000
RPPNMLTKKHKGFCU17DA,高寮南段,2977.72,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02400000
RPPNMLNKKHKGFCU56DA,源北段,60.51,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,14920000
RPWOMLOJKHKGFAU17DA,富國段,142.00,都市：住,1,1,全筆移轉,05210002
RPWNMLLKKHKGFAU86DA,自強段,23.99,都市：住,40000,4304,持分移轉,01080002
RPTNMLLKKHKGFAU56DA,廣賢段,54.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,23,持分移轉,01530000
RPQNMLNKKHKGFBU56DA,加里洞段,1739.19,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04760000
RPTNMLSJKHKGFAU17DA,慈惠段,87.99,都市：住,1,1,全筆移轉,10060037
RPSPMLRJKHKGFAU17DA,永興段,22.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2879,持分移轉,10460001
RPPNMLNLKHKGFAU09DA,宜安段,7.00,,1,1,全筆移轉,03440002
RPQNMLQLKHKGFCU07DA,神社段,115.57,都市：其他:保護區,1,1,全筆移轉,07080000
RPQNMLQLKHKGFCU07DA,神社段,5951.00,都市：其他:農業區,1,1,全筆移轉,07150000
RPXNMLLKKHKGFAU96DA,慈惠段,122.27,都市：住,20,1,持分移轉,07840000
RPXNMLLKKHKGFAU96DA,慈惠段,35.51,都市：其他:住宅區,20,1,持分移轉,08180000
RPXNMLLKKHKGFAU96DA,慈惠段,47.69,都市：其他:住宅區,20,1,持分移轉,08850000
RPSNMLOLKHKGFBU96DA,馬遠段,4961.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,13330620
RPPNMLSKKHKGFCU07DA,掃叭頂段,222.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00140000
RPPNMLSKKHKGFCU07DA,掃叭頂段,136.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00140001
RPPNMLRLKHKGFAU86DA,福祥段,59.00,都市：住,1,1,全筆移轉,05260000
RPPNMLRLKHKGFAU86DA,福祥段,9.00,都市：其他:住宅區,1,1,全筆移轉,05280000
RPRNMLNJLHKGFCU76DA,興南段,9210.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00450000
RPSNMLRLKHKGFAU17DA,富國段,7.57,都市：商,10000,176,持分移轉,01290000
RPXNMLQLKHKGFAU57DA,自強段,5.63,都市：住,10000,34,持分移轉,00140000
RPRNMLSKKHKGFCU27DA,掃叭頂段,.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00150000
RPRNMLSKKHKGFCU27DA,掃叭頂段,358.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00150001
RPOOMLRLKHKGFAU86DA,富國段,14.76,都市：住,10000,123,持分移轉,01900000
RPPNMLNJLHKGFBU09DA,西富段,3531.64,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03550000
RPVNMLOJLHKGFAU07DA,德安段,20.27,都市：住,10000,308,持分移轉,18650000
RPSNMLOJLHKGFAU76DA,富國段,14.77,都市：住,10000,130,持分移轉,01690000
RPROMLOJLHKGFAU76DA,萬壽段一小段,201.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01530069
RPQNMLOJLHKGFCU76DA,福岡段,856.89,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11020000
RPQNMLOJLHKGFCU76DA,福岡段,2046.20,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11030000
RPQNMLOJLHKGFCU76DA,福岡段,4705.76,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11040000
RPROMLOJLHKGFAU76DA,萬壽段一小段,11.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01530076
RPQNMLOJLHKGFCU76DA,福岡段,2678.45,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11050000
RPRNMLNJLHKGFAU56DA,樹人段,95.00,都市：住,1,1,全筆移轉,02730004
RPPNMLPJLHKGFCU76DA,塔菲拉段,159.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,01120000
RPTOMLPJLHKGFAU07DA,富國段,2.50,都市：商,10000,15,持分移轉,03090000
RPUNMLQJLHKGFAU17DA,福興段,152.00,都市：住,1,1,全筆移轉,08950011
RPPNMLRJJHKGFAU56DA,主權段,60.00,都市：其他:住宅區,1,1,全筆移轉,00960000
RPQRMLSJJHKGFAU17DA,嘉南段,132.00,都市：其他:道路用地,1,1,全筆移轉,06440000
RPQRMLSJJHKGFAU17DA,嘉南段,6.00,都市：其他:道路用地,1,1,全筆移轉,06450000
RPUNMLOKJHKGFAU86DA,克來寶段,1998.96,都市：工,1,1,全筆移轉,00130011
RPPOMLPKJHKGFAU56DA,福祥段,16.56,都市：住,10000,444,持分移轉,03520000
RPWNMLRJJHKGFAU27DA,主權段,113.00,都市：住,1,1,全筆移轉,00720000
RPXNMLKLJHKGFAU86DA,國股段,124.56,都市：其他:道路用地,1,1,全筆移轉,02630001
RPXNMLKLJHKGFAU86DA,德安段,65.00,都市：其他:道路用地,1,1,全筆移轉,14820001
RPXNMLKLJHKGFAU86DA,德安段,45.00,都市：其他:道路用地,1,1,全筆移轉,18720000
RPXNMLKLJHKGFAU86DA,林森段,27.08,都市：其他:道路用地,250,37,持分移轉,18800000
RPQNMLQKJHKGFCU86DA,卓樂段,96.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05760001
RPTNMLQKJHKGFCU17DA,神農段,5785.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,15310000
RPQOMLOKJHKGFAU56DA,富國段,6.36,都市：住,10000,56,持分移轉,01690000
RPPNMLMLJHKGFBU98DA,石門段,93.91,都市：其他:農業區,1,1,全筆移轉,06090000
RPPNMLMLJHKGFBU98DA,石門段,734.57,都市：其他:農業區,1,1,全筆移轉,06100000
RPPNMLMLJHKGFBU98DA,石門段,399.91,都市：其他:保護區,1,1,全筆移轉,06100001
RPPNMLMLJHKGFBU98DA,石門段,.11,都市：其他:保護區,1,1,全筆移轉,06100002
RPPNMLMLJHKGFBU98DA,石門段,787.44,都市：其他:住宅區,1,1,全筆移轉,06110000
RPPNMLMLJHKGFBU98DA,石門段,442.75,都市：其他:道路用地,1,1,全筆移轉,06290000
RPQNMLNLJHKGFCU66DA,玉璞段,91.00,都市：其他:商業區,1,1,全筆移轉,03540000
RPQNMLNLJHKGFAU09DA,嘉新段,42.00,都市：農,1,1,全筆移轉,05310000
RPSNMLOLJHKGFAU76DA,吳全段,8.88,都市：農,10000,108,持分移轉,09900000
RPRNMLOLJHKGFAU66DA,廣安段,88.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01630000
RPVNMLOJKHKGFAU96DA,富國段,17.43,都市：住,10000,317,持分移轉,00500000
RPPNMLOJKHKGFCU56DA,神農段,231.94,非都市：河川區 ; 非都市編定：農牧用地,1,1,全筆移轉,16580000
RPPNMLTKJHKGFAU86DA,共和段,1793.73,非都市：一般農業區 ; 非都市編定：農牧用地,16,5,持分移轉,02840000
RPPNMLTKJHKGFAU86DA,共和段,28.12,非都市：一般農業區 ; 非都市編定：農牧用地,16,5,持分移轉,02850000
RPPPMLNKJHKGFAU09DA,裕民段,7.75,都市：其他:住宅區,10000,93,持分移轉,04350000
RPRNMLOJKHKGFAU56DA,慈安段,83.00,都市：住,1,1,全筆移轉,10900006
RPPNMLPJKHKGFAU09DA,北濱段,10.13,都市：住,31000,1013,持分移轉,13560000
RPRNMLKLJHKGFAU88DA,仁義段,352.00,都市：其他:道路用地,1,1,全筆移轉,00650000
RPTOMLPJKHKGFAU96DA,下崇德段,133.00,都市：住,1,1,全筆移轉,09340000
RPPNMLPJKHKGFBU56DA,大平段,2106.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01560000
RPROMLPJKHKGFAU76DA,林森段,19.65,都市：住,10000,177,持分移轉,01610000
RPTOMLRJKHKGFAU17DA,民勤段,16.80,都市：住,10000,94,持分移轉,01500000
RPOPMLRJKHKGFAU76DA,光榮段,159.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,02660001
RPPNMLQJKHKGFCU76DA,學園段,441.98,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02970000
