編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMLJIJGFAU88CB,嘉平段,15.65,都市：農,72200000,1565485,持分移轉,15610001
RPPNMLMLJIJGFAU88CB,嘉平段,20.12,都市：住,100000,4289,持分移轉,15630000
RPQNMLOLKIJGFAU66CB,明義段,6.62,都市：商,100000,638,持分移轉,10950000
RPPNMLMLJIJGFAU88CB,嘉平段,1.19,都市：農,26,1,持分移轉,15610000
RPQNMLOLKIJGFAU66CB,明義段,.47,都市：商,100000,638,持分移轉,10950002
RPPNMLMLJIJGFAU88CB,嘉平段,24.82,都市：農,34,1,持分移轉,15650000
RPPNMLMLJIJGFAU88CB,嘉平段,11.41,非都市：特定農業區 ; 非都市編定：農牧用地,34,1,持分移轉,15650001
RPPNMLNKKIJGFAU98CB,仁恥段,3.04,都市：住,10000,181,持分移轉,06000000
RPPNMLNKKIJGFAU98CB,仁恥段,24.53,都市：住,10000,181,持分移轉,06010000
RPPNMLRLKIJGFAU96DB,新興段,34.09,都市：住,835,22,持分移轉,01300004
RPQNMLRKKIJGFAU86CB,國股段,29.56,都市：住,510,19,持分移轉,04310000
RPPNMLKLKIJGFAU78CB,富國段,15.72,都市：商,10000,53,持分移轉,01220000
RPPNMLSLKIJGFAU07DB,福興段,28.31,都市：住,10000,294,持分移轉,06880000
RPPNMLOJKIJGFAU98CB,仁廉段,20.76,都市：住,100000,1315,持分移轉,09710000
RPTNMLKMKIJGFAU66CB,裕民段,29.60,都市：住,100000,3262,持分移轉,02490002
RPPNMLKMKIJGFAU88CB,嘉南段,33.93,都市：住,100000,1991,持分移轉,03650000
RPPNMLRKKIJGFAU76CB,慈安段,27.04,都市：住,100000,4530,持分移轉,15120000
RPQNMLOJKIJGFAU09CB,仁廉段,20.91,都市：住,100000,1324,持分移轉,09710000
RPRNMLOLKIJGFAU76CB,明義段,15.30,都市：商,100000,1474,持分移轉,10950000
RPRNMLOLKIJGFAU76CB,明義段,1.09,都市：商,100000,1474,持分移轉,10950002
RPPNMLLKKIJGFAU88DB,新興段,7.30,都市：住,568,6,持分移轉,00300000
RPPNMLNKKIJGFAU09DB,民意段,26.44,都市：住,100000,2998,持分移轉,08260004
RPPNMLOLKIJGFAU56CB,明義段,15.30,都市：商,100000,1474,持分移轉,10950000
RPPNMLOLKIJGFAU56CB,明義段,1.09,都市：商,100000,1474,持分移轉,10950002
RPPNMLNLKIJGFAU09CB,明義段,6.62,都市：商,100000,638,持分移轉,10950000
RPQNMLNKKIJGFAU09CB,國股段,29.56,都市：住,510,19,持分移轉,04310000
RPPNMLNLKIJGFAU09CB,明義段,.47,都市：商,100000,638,持分移轉,10950002
